V1,time_stamp,validity_1,validity_2,validity_3,validity_4,validity_5,validity_r_1,validity_r_2,validity_r_3,validity_r_4,validity_r_5,gaze_left_1,gaze_left_2,gaze_left_3,gaze_right_1,gaze_right_2,gaze_right_3, gaze_origin_left_1, gaze_origin_left_2, gaze_origin_left_3,gaze_origin_right_1, gaze_origin_right_2, gaze_origin_right_3,convergence_validity,convergence_distance,pupil_diameter,pupil_diameter_r,eye_open,eye_open_r,time,v1_head,v2,x,y,z,qw,qx,qy,qz
3768515,1578642404217180,1,1,1,1,0,1,1,1,1,0,0.02859497,-0.1696167,0.98509216,0.06106567,-0.16513062,0.984375,32.74104309,-0.24812317,-30.39134216,-25.72996521,0.17938232,-23.38545227,0,0.0,4.50814819,4.50814819,0.93339401,0.87257522,1578642404217219,252433595038, HMD, -0.07489, 1.18259, 0.39099, 0.00631, -0.01735, 0.99832, -0.05491
3768515,1578642404221174,1,1,1,1,0,1,1,1,1,0,0.02859497,-0.1696167,0.98509216,0.06106567,-0.16513062,0.984375,32.74104309,-0.24812317,-30.39134216,-25.72996521,0.17938232,-23.38545227,0,0.0,4.50814819,4.50814819,0.93339401,0.87257522,1578642404217708,252433599927, HMD, -0.07490, 1.18259, 0.39099, 0.00631, -0.01735, 0.99832, -0.05491
3768523,1578642404225193,1,1,1,1,0,1,1,1,1,0,0.02908325,-0.17141724,0.98475647,0.0549469,-0.17100525,0.98373413,32.7618866,-0.21876526,-30.51063538,-25.7399292,0.15618896,-23.31330872,0,0.0,4.46795654,4.46795654,0.91572356,0.86573505,1578642404230349,252433726342, HMD, -0.07491, 1.18260, 0.39102, 0.00634, -0.01740, 0.99832, -0.05498
3768523,1578642404231184,1,1,1,1,0,1,1,1,1,0,0.02908325,-0.17141724,0.98475647,0.0549469,-0.17100525,0.98373413,32.7618866,-0.21876526,-30.51063538,-25.7399292,0.15618896,-23.31330872,0,0.0,4.46795654,4.46795654,0.91572356,0.86573505,1578642404231079,252433733630, HMD, -0.07491, 1.18260, 0.39102, 0.00633, -0.01740, 0.99832, -0.05499
3768531,1578642404235182,1,1,1,1,0,1,1,1,1,0,0.02470398,-0.17897034,0.98353577,0.05302429,-0.17192078,0.9836731,32.76948547,-0.21575928,-30.52909851,-25.74369812,0.14620972,-23.2872467,0,0.0,4.48913574,4.48913574,0.91572356,0.86573505,1578642404233599,252433758833, HMD, -0.07489, 1.18258, 0.39101, 0.00635, -0.01742, 0.99831, -0.05501
3768531,1578642404239230,1,1,1,1,0,1,1,1,1,0,0.02470398,-0.17897034,0.98353577,0.05302429,-0.17192078,0.9836731,32.76948547,-0.21575928,-30.52909851,-25.74369812,0.14620972,-23.2872467,0,0.0,4.48913574,4.48913574,0.91572356,0.86573505,1578642404233599,252433758833, HMD, -0.07489, 1.18258, 0.39101, 0.00635, -0.01742, 0.99831, -0.05501
3768540,1578642404243178,1,1,1,1,0,1,1,1,1,0,0.02935791,-0.17736816,0.98370361,0.05123901,-0.17280579,0.98361206,32.78646851,-0.25396729,-30.44828796,-25.7474823,0.13624573,-23.26118469,0,0.0,4.5319519,4.5319519,0.93086249,0.88558084,1578642404247489,252433897739, HMD, -0.07491, 1.18258, 0.39101, 0.00636, -0.01747, 0.99831, -0.05508
3768540,1578642404247179,1,1,1,1,0,1,1,1,1,0,0.02935791,-0.17736816,0.98370361,0.05123901,-0.17280579,0.98361206,32.78646851,-0.25396729,-30.44828796,-25.7474823,0.13624573,-23.26118469,0,0.0,4.5319519,4.5319519,0.93086249,0.88558084,1578642404247489,252433897739, HMD, -0.07491, 1.18258, 0.39101, 0.00636, -0.01747, 0.99831, -0.05508
3768548,1578642404251176,1,1,1,1,0,1,1,1,1,0,0.02993774,-0.18162537,0.98291016,0.04801941,-0.17178345,0.98394775,32.80651855,-0.34280396,-30.2035675,-25.75297546,0.12226868,-23.24316406,0,0.0,4.55183411,4.55183411,0.93086249,0.88558084,1578642404250420,252433927038, HMD, -0.07492, 1.18257, 0.39101, 0.00636, -0.01748, 0.99831, -0.05508
3768548,1578642404255186,1,1,1,1,0,1,1,1,1,0,0.02993774,-0.18162537,0.98291016,0.04801941,-0.17178345,0.98394775,32.80651855,-0.34280396,-30.2035675,-25.75297546,0.12226868,-23.24316406,0,0.0,4.55183411,4.55183411,0.93086249,0.88558084,1578642404250420,252433927038, HMD, -0.07492, 1.18257, 0.39101, 0.00636, -0.01748, 0.99831, -0.05508
